Елемент 1 у масиві структур
v = 6.000000, Re = 447.398844, fi = 0.475067, S = 7.853982e-007, F = 0.000009, t = 0.000000
v = 6.533333, Re = 487.167630, fi = 0.451403, S = 7.853982e-007, F = 0.000010, t = 20.000000
v = 7.066667, Re = 526.936416, fi = 0.440000, S = 7.853982e-007, F = 0.000011, t = 40.000000
v = 7.600000, Re = 566.705202, fi = 0.440000, S = 7.853982e-007, F = 0.000013, t = 60.000000
v = 8.133333, Re = 606.473988, fi = 0.440000, S = 7.853982e-007, F = 0.000015, t = 80.000000
v = 8.666667, Re = 646.242775, fi = 0.440000, S = 7.853982e-007, F = 0.000017, t = 100.000000
v = 9.200000, Re = 686.011561, fi = 0.440000, S = 7.853982e-007, F = 0.000019, t = 120.000000
v = 9.733333, Re = 725.780347, fi = 0.440000, S = 7.853982e-007, F = 0.000021, t = 140.000000
v = 10.000000, Re = 745.664740, fi = 0.440000, S = 7.853982e-007, F = 0.000022, t = 160.000000
v = 10.000000, Re = 745.664740, fi = 0.440000, S = 7.853982e-007, F = 0.000022, t = 180.000000
v = 10.000000, Re = 745.664740, fi = 0.440000, S = 7.853982e-007, F = 0.000022, t = 200.000000
v = 10.000000, Re = 745.664740, fi = 0.440000, S = 7.853982e-007, F = 0.000022, t = 220.000000
v = 10.000000, Re = 745.664740, fi = 0.440000, S = 7.853982e-007, F = 0.000022, t = 240.000000
v = 10.000000, Re = 745.664740, fi = 0.440000, S = 7.853982e-007, F = 0.000022, t = 260.000000
v = 10.000000, Re = 745.664740, fi = 0.440000, S = 7.853982e-007, F = 0.000022, t = 280.000000
v = 10.000000, Re = 745.664740, fi = 0.440000, S = 7.853982e-007, F = 0.000022, t = 300.000000
v = 10.000000, Re = 745.664740, fi = 0.440000, S = 7.853982e-007, F = 0.000022, t = 320.000000
v = 10.000000, Re = 745.664740, fi = 0.440000, S = 7.853982e-007, F = 0.000022, t = 340.000000
v = 10.000000, Re = 745.664740, fi = 0.440000, S = 7.853982e-007, F = 0.000022, t = 360.000000
v = 10.000000, Re = 745.664740, fi = 0.440000, S = 7.853982e-007, F = 0.000022, t = 380.000000
v = 10.000000, Re = 745.664740, fi = 0.440000, S = 7.853982e-007, F = 0.000022, t = 400.000000
v = 10.000000, Re = 745.664740, fi = 0.440000, S = 7.853982e-007, F = 0.000022, t = 420.000000
v = 10.000000, Re = 745.664740, fi = 0.440000, S = 7.853982e-007, F = 0.000022, t = 440.000000
v = 9.733333, Re = 725.780347, fi = 0.440000, S = 7.853982e-007, F = 0.000021, t = 460.000000
v = 9.200000, Re = 686.011561, fi = 0.440000, S = 7.853982e-007, F = 0.000019, t = 480.000000
v = 8.666667, Re = 646.242775, fi = 0.440000, S = 7.853982e-007, F = 0.000017, t = 500.000000
v = 8.133333, Re = 606.473988, fi = 0.440000, S = 7.853982e-007, F = 0.000015, t = 520.000000
v = 7.600000, Re = 566.705202, fi = 0.440000, S = 7.853982e-007, F = 0.000013, t = 540.000000
v = 7.066667, Re = 526.936416, fi = 0.440000, S = 7.853982e-007, F = 0.000011, t = 560.000000
v = 6.533333, Re = 487.167630, fi = 0.451403, S = 7.853982e-007, F = 0.000010, t = 580.000000
v = 6.000000, Re = 447.398844, fi = 0.475067, S = 7.853982e-007, F = 0.000009, t = 600.000000
Елемент 2 у масиві структур
v = 8.000000, Re = 1193.063584, fi = 0.440000, S = 3.141593e-006, F = 0.000057, t = 0.000000
v = 8.666667, Re = 1292.485549, fi = 0.440000, S = 3.141593e-006, F = 0.000067, t = 20.000000
v = 9.333333, Re = 1391.907514, fi = 0.440000, S = 3.141593e-006, F = 0.000078, t = 40.000000
v = 10.000000, Re = 1491.329480, fi = 0.440000, S = 3.141593e-006, F = 0.000089, t = 60.000000
v = 10.666667, Re = 1590.751445, fi = 0.440000, S = 3.141593e-006, F = 0.000101, t = 80.000000
v = 11.333333, Re = 1690.173410, fi = 0.440000, S = 3.141593e-006, F = 0.000115, t = 100.000000
v = 12.000000, Re = 1789.595376, fi = 0.440000, S = 3.141593e-006, F = 0.000128, t = 120.000000
v = 12.666667, Re = 1889.017341, fi = 0.440000, S = 3.141593e-006, F = 0.000143, t = 140.000000
v = 13.000000, Re = 1938.728324, fi = 0.440000, S = 3.141593e-006, F = 0.000151, t = 160.000000
v = 13.000000, Re = 1938.728324, fi = 0.440000, S = 3.141593e-006, F = 0.000151, t = 180.000000
v = 13.000000, Re = 1938.728324, fi = 0.440000, S = 3.141593e-006, F = 0.000151, t = 200.000000
v = 13.000000, Re = 1938.728324, fi = 0.440000, S = 3.141593e-006, F = 0.000151, t = 220.000000
v = 13.000000, Re = 1938.728324, fi = 0.440000, S = 3.141593e-006, F = 0.000151, t = 240.000000
v = 13.000000, Re = 1938.728324, fi = 0.440000, S = 3.141593e-006, F = 0.000151, t = 260.000000
v = 13.000000, Re = 1938.728324, fi = 0.440000, S = 3.141593e-006, F = 0.000151, t = 280.000000
v = 13.000000, Re = 1938.728324, fi = 0.440000, S = 3.141593e-006, F = 0.000151, t = 300.000000
v = 13.000000, Re = 1938.728324, fi = 0.440000, S = 3.141593e-006, F = 0.000151, t = 320.000000
v = 13.000000, Re = 1938.728324, fi = 0.440000, S = 3.141593e-006, F = 0.000151, t = 340.000000
v = 13.000000, Re = 1938.728324, fi = 0.440000, S = 3.141593e-006, F = 0.000151, t = 360.000000
v = 13.000000, Re = 1938.728324, fi = 0.440000, S = 3.141593e-006, F = 0.000151, t = 380.000000
v = 13.000000, Re = 1938.728324, fi = 0.440000, S = 3.141593e-006, F = 0.000151, t = 400.000000
v = 13.000000, Re = 1938.728324, fi = 0.440000, S = 3.141593e-006, F = 0.000151, t = 420.000000
v = 13.000000, Re = 1938.728324, fi = 0.440000, S = 3.141593e-006, F = 0.000151, t = 440.000000
v = 12.666667, Re = 1889.017341, fi = 0.440000, S = 3.141593e-006, F = 0.000143, t = 460.000000
v = 12.000000, Re = 1789.595376, fi = 0.440000, S = 3.141593e-006, F = 0.000128, t = 480.000000
v = 11.333333, Re = 1690.173410, fi = 0.440000, S = 3.141593e-006, F = 0.000115, t = 500.000000
v = 10.666667, Re = 1590.751445, fi = 0.440000, S = 3.141593e-006, F = 0.000101, t = 520.000000
v = 10.000000, Re = 1491.329480, fi = 0.440000, S = 3.141593e-006, F = 0.000089, t = 540.000000
v = 9.333333, Re = 1391.907514, fi = 0.440000, S = 3.141593e-006, F = 0.000078, t = 560.000000
v = 8.666667, Re = 1292.485549, fi = 0.440000, S = 3.141593e-006, F = 0.000067, t = 580.000000
v = 8.000000, Re = 1193.063584, fi = 0.440000, S = 3.141593e-006, F = 0.000057, t = 600.000000
Елемент 3 у масиві структур
v = 10.000000, Re = 2236.994220, fi = 0.440000, S = 7.068583e-006, F = 0.000201, t = 0.000000
v = 10.933333, Re = 2445.780347, fi = 0.440000, S = 7.068583e-006, F = 0.000240, t = 20.000000
v = 11.866667, Re = 2654.566474, fi = 0.440000, S = 7.068583e-006, F = 0.000282, t = 40.000000
v = 12.800000, Re = 2863.352601, fi = 0.440000, S = 7.068583e-006, F = 0.000329, t = 60.000000
v = 13.733333, Re = 3072.138728, fi = 0.440000, S = 7.068583e-006, F = 0.000378, t = 80.000000
v = 14.666667, Re = 3280.924855, fi = 0.440000, S = 7.068583e-006, F = 0.000432, t = 100.000000
v = 15.600000, Re = 3489.710983, fi = 0.440000, S = 7.068583e-006, F = 0.000488, t = 120.000000
v = 16.533333, Re = 3698.497110, fi = 0.440000, S = 7.068583e-006, F = 0.000548, t = 140.000000
v = 17.000000, Re = 3802.890173, fi = 0.440000, S = 7.068583e-006, F = 0.000580, t = 160.000000
v = 17.000000, Re = 3802.890173, fi = 0.440000, S = 7.068583e-006, F = 0.000580, t = 180.000000
v = 17.000000, Re = 3802.890173, fi = 0.440000, S = 7.068583e-006, F = 0.000580, t = 200.000000
v = 17.000000, Re = 3802.890173, fi = 0.440000, S = 7.068583e-006, F = 0.000580, t = 220.000000
v = 17.000000, Re = 3802.890173, fi = 0.440000, S = 7.068583e-006, F = 0.000580, t = 240.000000
v = 17.000000, Re = 3802.890173, fi = 0.440000, S = 7.068583e-006, F = 0.000580, t = 260.000000
v = 17.000000, Re = 3802.890173, fi = 0.440000, S = 7.068583e-006, F = 0.000580, t = 280.000000
